Cliente_ID,Fecha,Producto,Rubro,Medio_Pago,Precio,Descuento,Edad,Género,Canal_Venta,Total
C00060,2024-03-13,,Cuidado Capilar,Efectivo,3090,0.0,48.0,F,Tienda,3090.0
C00061,2024-02-08,Crema hidratante,Uñas,Débito,12570,0.05,41.0,F,Tienda,11941.5
C00062,2024-01-18,Crema hidratante,Fragancia,Efectivo,2116,0.05,53.0,M,Tienda,2010.1999999999998
C00063,2024-01-04,Shampoo sin sulfato,Cuidado Facial,Débito,8750,0.15,30.0,F,Tienda,7437.5
C00064,2024-03-29,Labial mate,Uñas,Transferencia,14580,0.05,17.0,M,Tienda,13851.0
C00065,2024-02-29,Sérum facial,Uñas,Tarjeta,14932,0.15,27.0,F,Tienda,12692.199999999999
C00066,2024-01-14,Acondicionador vegano,Cuidado Facial,Débito,11932,0.0,48.0,F,Online,11932.0
C00067,2024-04-23,Acondicionador vegano,Uñas,Débito,6334,0.1,30.0,M,Online,5700.6
C00068,2024-01-09,Máscara de pestañas,Uñas,Efectivo,14246,0.0,60.0,M,Online,14246.0
C00069,2024-03-30,Eau de Parfum,Cuidado Facial,Transferencia,3161,0.1,16.0,M,Tienda,2844.9
C00070,2024-02-22,Labial mate,Maquillaje,Efectivo,4256,0.0,48.0,M,Online,4256.0
C00071,2024-01-02,Base líquida HD,Cuidado Capilar,Transferencia,12160,0.0,19.0,M,Online,12160.0
C00072,2024-03-24,Acondicionador vegano,Fragancia,Transferencia,10340,0.0,43.0,F,Tienda,10340.0
C00073,2024-04-01,,Cuidado Capilar,Efectivo,4176,0.15,68.0,F,Online,3549.6
C00074,2024-04-20,Base líquida HD,Maquillaje,Tarjeta,7380,0.0,29.0,F,Online,7380.0
C00075,2024-02-29,Shampoo sin sulfato,Maquillaje,Transferencia,13445,0.1,68.0,M,Tienda,12100.5
C00076,2024-03-11,Eau de Parfum,Uñas,Tarjeta,14195,0.2,64.0,M,Tienda,11356.0
C00077,2024-02-13,Eau de Parfum,Cuidado Capilar,Efectivo,14816,0.0,60.0,M,Tienda,14816.0
C00078,2024-01-08,Sérum facial,Maquillaje,Tarjeta,4345,0.2,27.0,F,Online,3476.0
C00079,2024-02-16,Acondicionador vegano,Cuidado Capilar,Transferencia,13153,0.0,21.0,M,Tienda,13153.0
C00080,2024-02-04,Máscara de pestañas,Maquillaje,Efectivo,7996,0.15,66.0,M,Online,6796.599999999999
C00081,2024-03-18,Tónico facial,Fragancia,Tarjeta,10332,0.2,35.0,F,Online,8265.6
C00082,2024-03-21,Tónico facial,Maquillaje,Efectivo,3933,0.2,63.0,F,Online,3146.4
C00083,2024-02-05,Crema hidratante,Cuidado Capilar,Efectivo,8741,0.05,36.0,M,Online,8303.949999999999
C00084,2024-02-19,Esmalte en gel,Uñas,Tarjeta,6655,0.15,31.0,F,Online,5656.75
C00085,2024-04-13,Base líquida HD,Cuidado Capilar,Transferencia,11299,0.0,,F,Online,11299.0
C00086,2024-01-04,Shampoo sin sulfato,Cuidado Facial,Transferencia,3448,0.05,67.0,M,Tienda,3275.6
C00087,2024-01-02,Crema hidratante,Cuidado Capilar,Transferencia,1827,0.0,35.0,F,Online,1827.0
C00088,2024-01-06,Eau de Parfum,Fragancia,Transferencia,6896,0.0,60.0,F,Online,6896.0
C00089,2024-02-23,Base líquida HD,Fragancia,Débito,2203,0.1,48.0,M,Online,1982.7
C00090,2024-04-15,Labial mate,Fragancia,Efectivo,12495,0.0,65.0,F,Tienda,12495.0
C00091,2024-01-04,Acondicionador vegano,Maquillaje,Efectivo,7619,0.2,17.0,F,Online,6095.200000000001
C00092,2024-02-23,Shampoo sin sulfato,Fragancia,Débito,7798,0.1,49.0,F,Tienda,7018.2
C00093,2024-04-02,Labial mate,Cuidado Capilar,Efectivo,1844,0.15,41.0,M,Tienda,1567.3999999999999
C00094,2024-03-03,Máscara de pestañas,Uñas,Efectivo,3971,0.15,48.0,M,Tienda,3375.35
C00095,2024-01-18,Acondicionador vegano,Fragancia,Tarjeta,2268,0.1,57.0,F,Online,2041.2
C00096,2024-03-30,Base líquida HD,Cuidado Capilar,Débito,13925,0.0,45.0,M,Online,13925.0
C00097,2024-02-13,Acondicionador vegano,Maquillaje,Efectivo,5744,0.05,16.0,F,Tienda,5456.8
C00098,2024-02-03,Crema hidratante,Maquillaje,Efectivo,8735,0.0,61.0,F,Tienda,8735.0
C00099,2024-03-14,Sérum facial,Uñas,Débito,10821,0.0,23.0,M,Tienda,10821.0
C00100,2024-03-02,Crema hidratante,Uñas,Débito,4530,0.0,16.0,M,Tienda,4530.0
C00101,2024-04-09,Máscara de pestañas,Cuidado Capilar,Tarjeta,6085,0.1,61.0,M,Online,5476.5
C00102,2024-01-14,Esmalte en gel,Uñas,Tarjeta,9995,0.0,25.0,M,Tienda,9995.0
C00103,2024-04-04,Labial mate,Uñas,Transferencia,9319,0.05,47.0,F,Online,8853.05
C00104,2024-02-17,Crema hidratante,Maquillaje,Transferencia,10143,0.05,66.0,F,Tienda,9635.85
C00105,2024-01-15,Sérum facial,Cuidado Capilar,Tarjeta,3264,0.0,55.0,F,Tienda,3264.0
C00106,2024-03-12,Esmalte en gel,Uñas,Efectivo,1019,0.1,17.0,M,Online,917.1
C00107,2024-03-18,Crema hidratante,Cuidado Capilar,Débito,12830,0.1,46.0,M,Tienda,11547.0
C00108,2024-03-27,Eau de Parfum,Fragancia,Tarjeta,2781,0.2,19.0,M,Tienda,2224.8
C00109,2024-04-30,Sérum facial,Maquillaje,Transferencia,13026,0.0,27.0,M,Online,13026.0
C00110,2024-03-02,Labial mate,Maquillaje,Débito,12323,0.05,46.0,F,Online,11706.849999999999
C00111,2024-02-09,Shampoo sin sulfato,Maquillaje,Transferencia,13962,0.05,56.0,F,Online,13263.9
C00112,2024-03-25,Tónico facial,Cuidado Facial,Efectivo,7857,0.2,38.0,M,Tienda,6285.6
C00113,2024-03-20,Esmalte en gel,Cuidado Capilar,Efectivo,5834,0.05,48.0,M,Online,5542.3
C00114,2024-04-18,Eau de Parfum,Fragancia,Transferencia,8296,0.05,23.0,F,Online,7881.2
C00115,2024-03-22,Shampoo sin sulfato,Uñas,Débito,9748,0.0,64.0,M,Online,9748.0
C00116,2024-04-20,Base líquida HD,Fragancia,Transferencia,3244,0.0,31.0,M,Tienda,3244.0
C00117,2024-02-22,Sérum facial,Cuidado Capilar,Débito,3983,0.0,30.0,F,Online,3983.0
C00118,2024-01-24,Eau de Parfum,Maquillaje,Tarjeta,12755,0.1,56.0,F,Tienda,11479.5
C00119,2024-01-26,Acondicionador vegano,Cuidado Facial,Transferencia,3725,0.1,55.0,F,Online,3352.5
C00120,2024-03-29,Base líquida HD,Cuidado Capilar,Transferencia,5599,0.0,67.0,M,Tienda,5599.0
C00121,2024-02-29,Base líquida HD,Cuidado Capilar,Débito,6366,0.05,41.0,M,Tienda,6047.7
C00122,2024-04-18,Esmalte en gel,Uñas,Tarjeta,14025,0.0,29.0,M,Online,14025.0
C00123,2024-02-10,Sérum facial,Fragancia,Débito,5887,0.1,27.0,M,Tienda,5298.3
C00124,2024-01-29,Eau de Parfum,Fragancia,Débito,12523,0.15,42.0,M,Online,10644.55
C00125,2024-01-15,Máscara de pestañas,Uñas,Transferencia,14658,0.15,62.0,F,Tienda,12459.3
C00126,2024-02-14,Eau de Parfum,Cuidado Facial,Transferencia,1196,0.0,46.0,F,Tienda,1196.0
C00127,2024-03-05,Crema hidratante,Maquillaje,Débito,6226,0.1,19.0,F,Tienda,5603.400000000001
C00128,2024-03-29,Base líquida HD,Maquillaje,Efectivo,3828,0.2,45.0,F,Tienda,3062.4
C00129,2024-03-11,Labial mate,Cuidado Facial,Efectivo,14031,0.1,19.0,M,Tienda,12627.9
C00130,2024-01-09,Base líquida HD,Uñas,Efectivo,4988,0.0,69.0,F,Tienda,4988.0
C00131,2024-03-28,Base líquida HD,Cuidado Capilar,Transferencia,6732,0.1,46.0,F,Online,6058.8
C00132,2024-01-01,Tónico facial,Fragancia,Transferencia,6279,0.1,49.0,F,Online,5651.1
C00133,2024-04-17,Acondicionador vegano,Cuidado Capilar,Tarjeta,3469,0.0,19.0,F,Online,3469.0
C00134,2024-01-08,Máscara de pestañas,Fragancia,Transferencia,2630,0.0,35.0,M,Tienda,2630.0
C00135,2024-03-28,Shampoo sin sulfato,Cuidado Capilar,Tarjeta,4278,0.1,33.0,M,Tienda,3850.2000000000003
C00136,2024-03-03,Shampoo sin sulfato,Uñas,Transferencia,3038,0.15,62.0,F,Online,2582.2999999999997
C00137,2024-01-11,Acondicionador vegano,Uñas,Efectivo,6432,0.2,23.0,M,Tienda,5145.6
C00138,2024-04-24,Base líquida HD,Cuidado Facial,Efectivo,11671,0.0,57.0,F,Online,11671.0
C00139,2024-03-21,Shampoo sin sulfato,Cuidado Capilar,Débito,6021,0.1,17.0,F,Online,5418.900000000001
C00140,2024-01-08,Sérum facial,Cuidado Capilar,Débito,5330,0.0,24.0,F,Online,5330.0
C00141,2024-02-04,Máscara de pestañas,Cuidado Facial,Tarjeta,7470,0.2,31.0,M,Tienda,5976.0
C00142,2024-02-04,Shampoo sin sulfato,Cuidado Facial,Tarjeta,8077,0.0,37.0,F,Online,8077.0
C00143,2024-02-02,Acondicionador vegano,Uñas,Débito,13766,0.0,27.0,M,Tienda,13766.0
C00144,2024-01-05,Crema hidratante,Uñas,Tarjeta,11667,0.0,20.0,M,Online,11667.0
C00145,2024-04-15,Shampoo sin sulfato,Cuidado Capilar,Transferencia,5761,0.1,54.0,M,Tienda,5184.900000000001
C00146,2024-04-12,Máscara de pestañas,Uñas,Efectivo,6219,0.0,30.0,M,Tienda,6219.0
C00147,2024-02-10,Esmalte en gel,Uñas,Débito,12501,0.1,60.0,F,Online,11250.9
C00148,2024-01-28,Esmalte en gel,Cuidado Capilar,Débito,12370,0.05,23.0,M,Tienda,11751.5
C00149,2024-01-07,Sérum facial,Cuidado Facial,Transferencia,8001,0.05,39.0,F,Tienda,7600.95
C00150,2024-03-13,Eau de Parfum,Cuidado Capilar,Tarjeta,2387,0.0,66.0,F,Online,2387.0
C00151,2024-03-12,Eau de Parfum,Maquillaje,Débito,1641,0.0,34.0,M,Online,1641.0
C00152,2024-01-12,Shampoo sin sulfato,Cuidado Capilar,Débito,6612,0.0,52.0,F,Online,6612.0
C00153,2024-02-03,Labial mate,Maquillaje,Transferencia,8210,0.1,68.0,F,Tienda,7389.0
C00154,2024-02-02,Crema hidratante,Cuidado Capilar,Efectivo,1574,0.05,33.0,M,Online,1495.3
C00155,2024-02-17,Acondicionador vegano,Maquillaje,Débito,12336,0.0,36.0,M,Tienda,12336.0
C00156,2024-04-28,Crema hidratante,Maquillaje,Débito,10913,0.05,64.0,M,Online,10367.35
C00157,2024-01-23,Esmalte en gel,Cuidado Capilar,Transferencia,10210,0.0,54.0,M,Online,10210.0
C00158,2024-03-02,Shampoo sin sulfato,Uñas,Débito,8796,0.05,29.0,F,Online,8356.199999999999
C00159,2024-03-28,Máscara de pestañas,Fragancia,Débito,14615,0.2,30.0,F,Online,11692.0
C00160,2024-02-06,Acondicionador vegano,Uñas,Efectivo,13250,0.0,,M,Tienda,13250.0
C00161,2024-04-08,Crema hidratante,Maquillaje,Débito,12612,0.1,18.0,M,Tienda,11350.800000000001
C00162,2024-02-13,Máscara de pestañas,Cuidado Capilar,Transferencia,9591,0.1,60.0,F,Tienda,8631.9
C00163,2024-04-13,Acondicionador vegano,Cuidado Capilar,Efectivo,5690,0.05,26.0,F,Online,5405.5
C00164,2024-03-26,Crema hidratante,Cuidado Capilar,Efectivo,2456,0.05,18.0,M,Tienda,2333.2
C00165,2024-03-31,Sérum facial,Cuidado Capilar,Efectivo,2595,0.05,45.0,M,Tienda,2465.25
C00166,2024-02-04,Esmalte en gel,Fragancia,Tarjeta,9308,0.0,21.0,M,Tienda,9308.0
C00167,2024-03-05,Base líquida HD,Cuidado Facial,Transferencia,8986,0.1,21.0,M,Tienda,8087.400000000001
C00168,2024-04-08,Acondicionador vegano,Maquillaje,Tarjeta,9574,0.1,46.0,M,Tienda,8616.6
C00169,2024-04-10,Esmalte en gel,Fragancia,Débito,14146,0.2,37.0,M,Online,11316.800000000001
C00170,2024-02-16,Tónico facial,Uñas,Efectivo,3129,0.1,36.0,M,Tienda,2816.1
C00171,2024-03-18,Labial mate,Cuidado Facial,Tarjeta,11042,0.0,,F,Tienda,11042.0
C00172,2024-01-03,Shampoo sin sulfato,Cuidado Facial,Débito,1831,0.1,53.0,F,Online,1647.9
C00173,2024-01-01,Tónico facial,Cuidado Capilar,Tarjeta,5968,0.1,21.0,F,Tienda,5371.2
C00174,2024-01-05,Máscara de pestañas,Fragancia,Efectivo,11892,0.1,44.0,F,Online,10702.800000000001
C00175,2024-03-30,Acondicionador vegano,Uñas,Débito,11973,0.15,61.0,F,Tienda,10177.05
C00176,2024-04-28,Shampoo sin sulfato,Cuidado Capilar,Efectivo,4481,0.2,26.0,F,Tienda,3584.8
C00177,2024-01-14,Shampoo sin sulfato,Cuidado Capilar,Efectivo,3117,0.0,63.0,M,Tienda,3117.0
C00178,2024-04-12,Tónico facial,Maquillaje,Tarjeta,5482,0.0,37.0,M,Online,5482.0
C00179,2024-01-27,Tónico facial,Cuidado Facial,Transferencia,3006,0.1,66.0,M,Tienda,2705.4
C00180,2024-01-09,Base líquida HD,Uñas,Débito,11763,0.05,54.0,M,Online,11174.85
C00181,2024-03-19,Crema hidratante,Cuidado Facial,Débito,9488,0.1,21.0,M,Online,8539.2
C00182,2024-01-15,Acondicionador vegano,Fragancia,Transferencia,7760,0.05,45.0,F,Tienda,7372.0
C00183,2024-03-30,Esmalte en gel,Maquillaje,Débito,9910,0.05,58.0,F,Tienda,9414.5
C00184,2024-02-11,Eau de Parfum,Cuidado Capilar,Tarjeta,12328,0.0,40.0,F,Tienda,12328.0
C00185,2024-03-17,Acondicionador vegano,Maquillaje,Débito,6694,0.1,51.0,F,Online,6024.6
C00186,2024-02-20,Acondicionador vegano,Cuidado Capilar,Tarjeta,7062,0.0,16.0,F,Tienda,7062.0
C00187,2024-03-03,Acondicionador vegano,Maquillaje,Débito,4079,0.1,37.0,F,Online,3671.1
C00188,2024-04-05,Shampoo sin sulfato,Cuidado Capilar,Tarjeta,6278,0.2,24.0,F,Online,5022.400000000001
C00189,2024-04-12,Máscara de pestañas,Cuidado Facial,Transferencia,1010,0.0,60.0,F,Tienda,1010.0
C00190,2024-04-22,Shampoo sin sulfato,Cuidado Facial,Débito,5880,0.0,23.0,M,Online,5880.0
C00191,2024-02-21,Máscara de pestañas,Cuidado Facial,Tarjeta,1410,0.0,49.0,F,Online,1410.0
C00192,2024-04-05,Tónico facial,Cuidado Facial,Efectivo,12131,0.0,31.0,M,Tienda,12131.0
C00193,2024-01-04,Eau de Parfum,Maquillaje,Efectivo,11846,0.0,34.0,M,Tienda,11846.0
C00194,2024-04-03,Shampoo sin sulfato,Cuidado Capilar,Efectivo,14517,0.05,23.0,M,Online,13791.15
C00195,2024-04-10,Máscara de pestañas,Cuidado Facial,Débito,12378,0.05,27.0,F,Tienda,11759.099999999999
C00196,2024-01-23,Shampoo sin sulfato,Maquillaje,Tarjeta,12642,0.0,58.0,F,Online,12642.0
C00197,2024-04-12,Labial mate,Cuidado Capilar,Efectivo,1598,0.1,56.0,F,Online,1438.2
C00198,2024-04-18,Shampoo sin sulfato,Maquillaje,Débito,1823,0.2,46.0,F,Online,1458.4
C00199,2024-01-15,Eau de Parfum,Cuidado Facial,Tarjeta,8876,0.0,57.0,F,Online,8876.0
C00200,2024-02-12,Eau de Parfum,Fragancia,Efectivo,11589,0.15,48.0,F,Online,9850.65
C00201,2024-01-29,Máscara de pestañas,Maquillaje,Efectivo,6217,0.0,34.0,M,Tienda,6217.0
C00202,2024-02-05,Máscara de pestañas,Cuidado Facial,Débito,8086,0.0,42.0,F,Tienda,8086.0
C00203,2024-01-13,Tónico facial,Uñas,Tarjeta,13306,0.05,39.0,F,Online,12640.699999999999
C00204,2024-02-01,Eau de Parfum,Cuidado Capilar,Débito,1312,0.0,64.0,F,Tienda,1312.0
C00205,2024-03-11,Eau de Parfum,Cuidado Facial,Efectivo,12166,0.0,43.0,F,Tienda,12166.0
C00206,2024-02-28,Base líquida HD,Uñas,Débito,7671,0.0,19.0,F,Tienda,7671.0
C00207,2024-04-24,,Maquillaje,Débito,7700,0.2,27.0,F,Tienda,6160.0
C00208,2024-03-26,Sérum facial,Maquillaje,Efectivo,12930,0.0,38.0,M,Online,12930.0
C00209,2024-01-28,Shampoo sin sulfato,Uñas,Efectivo,3492,0.1,35.0,F,Online,3142.8
C00210,2024-03-06,Crema hidratante,Uñas,Tarjeta,11137,0.1,55.0,F,Tienda,10023.300000000001
C00211,2024-02-11,Tónico facial,Cuidado Capilar,Tarjeta,1230,0.0,43.0,F,Online,1230.0
C00212,2024-02-14,Acondicionador vegano,Maquillaje,Efectivo,4740,0.0,69.0,M,Online,4740.0
C00213,2024-03-02,Sérum facial,Uñas,Efectivo,11864,0.0,63.0,M,Online,11864.0
C00214,2024-02-26,Base líquida HD,Fragancia,Transferencia,12646,0.0,16.0,M,Online,12646.0
C00215,2024-04-26,Crema hidratante,Fragancia,Transferencia,12775,0.0,56.0,M,Online,12775.0
C00216,2024-01-06,Máscara de pestañas,Uñas,Tarjeta,1043,0.0,26.0,F,Tienda,1043.0
C00217,2024-01-28,Eau de Parfum,Cuidado Capilar,Débito,8532,0.0,59.0,F,Online,8532.0
C00218,2024-01-28,Labial mate,Maquillaje,Efectivo,9092,0.0,46.0,F,Online,9092.0
C00219,2024-04-17,Tónico facial,Fragancia,Efectivo,12116,0.05,56.0,M,Online,11510.199999999999
C00220,2024-02-13,Esmalte en gel,Uñas,Débito,12885,0.0,53.0,F,Tienda,12885.0
C00221,2024-03-24,Eau de Parfum,Uñas,Tarjeta,8278,0.2,24.0,F,Tienda,6622.400000000001
C00222,2024-01-30,Labial mate,Cuidado Facial,Transferencia,11462,0.0,21.0,M,Online,11462.0
C00223,2024-03-02,Sérum facial,Uñas,Tarjeta,4457,0.1,21.0,F,Online,4011.3
C00224,2024-03-15,Máscara de pestañas,Cuidado Capilar,Débito,12141,0.2,67.0,M,Tienda,9712.800000000001
C00225,2024-04-28,Crema hidratante,Fragancia,Efectivo,6384,0.0,18.0,F,Online,6384.0
C00226,2024-04-01,Sérum facial,Cuidado Facial,Transferencia,11510,0.05,47.0,M,Tienda,10934.5
C00227,2024-03-29,Eau de Parfum,Fragancia,Débito,6615,0.05,50.0,F,Online,6284.25
C00228,2024-04-12,Eau de Parfum,Fragancia,Efectivo,12577,0.2,31.0,M,Online,10061.6
C00229,2024-03-02,Crema hidratante,Cuidado Capilar,Tarjeta,6506,0.1,17.0,M,Online,5855.400000000001
C00230,2024-04-06,Esmalte en gel,Uñas,Transferencia,11486,0.0,51.0,M,Online,11486.0
C00231,2024-01-01,Labial mate,Cuidado Capilar,Efectivo,3995,0.1,56.0,M,Tienda,3595.5
C00232,2024-04-30,Sérum facial,Uñas,Efectivo,4638,0.05,22.0,M,Online,4406.099999999999
C00233,2024-01-27,Máscara de pestañas,Cuidado Facial,Efectivo,14108,0.0,50.0,F,Tienda,14108.0
C00234,2024-03-02,Eau de Parfum,Cuidado Capilar,Efectivo,8517,0.1,45.0,F,Tienda,7665.3
C00235,2024-04-30,Sérum facial,Cuidado Capilar,Efectivo,12559,0.1,60.0,F,Tienda,11303.1
C00236,2024-04-25,Esmalte en gel,Maquillaje,Tarjeta,4284,0.0,61.0,M,Tienda,4284.0
C00237,2024-03-17,Sérum facial,Cuidado Capilar,Débito,11534,0.15,44.0,M,Tienda,9803.9
C00238,2024-04-14,Crema hidratante,Maquillaje,Transferencia,9362,0.0,56.0,F,Online,9362.0
C00239,2024-01-03,Máscara de pestañas,Uñas,Tarjeta,5341,0.1,16.0,M,Tienda,4806.900000000001
C00240,2024-04-12,Base líquida HD,Uñas,Transferencia,14452,0.0,59.0,F,Tienda,14452.0
C00241,2024-03-10,Crema hidratante,Uñas,Efectivo,10831,0.15,16.0,F,Online,9206.35
C00242,2024-03-12,Sérum facial,Maquillaje,Débito,1616,0.1,56.0,M,Tienda,1454.4
C00243,2024-01-27,Base líquida HD,Uñas,Efectivo,1239,0.05,22.0,F,Tienda,1177.05
C00244,2024-01-09,Eau de Parfum,Fragancia,Tarjeta,7052,0.2,18.0,M,Online,5641.6
C00245,2024-03-02,Base líquida HD,Cuidado Capilar,Tarjeta,7454,0.0,51.0,M,Tienda,7454.0
C00246,2024-02-06,Esmalte en gel,Maquillaje,Transferencia,14727,0.0,54.0,M,Tienda,14727.0
C00247,2024-04-06,Shampoo sin sulfato,Uñas,Efectivo,13685,0.05,46.0,F,Online,13000.75
C00248,2024-02-20,Esmalte en gel,Fragancia,Efectivo,11048,0.05,40.0,F,Tienda,10495.6
C00249,2024-04-15,Crema hidratante,Cuidado Capilar,Débito,10114,0.05,62.0,M,Tienda,9608.3
C00250,2024-02-13,Shampoo sin sulfato,Cuidado Capilar,Débito,5887,0.1,39.0,F,Online,5298.3
C00251,2024-01-24,Crema hidratante,Uñas,Efectivo,2904,0.1,16.0,M,Online,2613.6
